2025-05-13 16:30:24,485 - DEBUG - [algo] | Using cached balances (age=40.9s)
2025-05-13 16:30:27,615 - DEBUG - [algo] | Using cached balances (age=44.1s)
2025-05-13 16:30:27,615 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:28,065 - DEBUG - [algo] | Using cached balances (age=44.5s)
2025-05-13 16:30:28,065 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:28,066 - DEBUG - [algo] | Using cached balances (age=44.5s)
2025-05-13 16:30:28,067 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:28,170 - DEBUG - [algo] | Using cached balances (age=44.6s)
2025-05-13 16:30:28,170 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:28,171 - DEBUG - [algo] | Using cached balances (age=44.6s)
2025-05-13 16:30:28,171 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:28,280 - DEBUG - [algo] | Using cached balances (age=44.7s)
2025-05-13 16:30:28,281 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:28,282 - DEBUG - [algo] | Using cached balances (age=44.7s)
2025-05-13 16:30:28,283 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:28,916 - DEBUG - [algo] | Using cached balances (age=45.4s)
2025-05-13 16:30:28,916 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:28,917 - DEBUG - [algo] | Using cached balances (age=45.4s)
2025-05-13 16:30:28,917 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:29,334 - DEBUG - [algo] | Using cached balances (age=45.8s)
2025-05-13 16:30:29,334 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:29,335 - DEBUG - [algo] | Using cached balances (age=45.8s)
2025-05-13 16:30:29,335 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:29,439 - DEBUG - [algo] | Using cached balances (age=45.9s)
2025-05-13 16:30:29,439 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:29,440 - DEBUG - [algo] | Using cached balances (age=45.9s)
2025-05-13 16:30:29,440 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:29,559 - DEBUG - [algo] | Using cached balances (age=46.0s)
2025-05-13 16:30:29,559 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:29,560 - DEBUG - [algo] | Using cached balances (age=46.0s)
2025-05-13 16:30:29,560 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:29,664 - DEBUG - [algo] | Using cached balances (age=46.1s)
2025-05-13 16:30:29,665 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:29,665 - DEBUG - [algo] | Using cached balances (age=46.1s)
2025-05-13 16:30:29,666 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:29,780 - DEBUG - [algo] | Using cached balances (age=46.2s)
2025-05-13 16:30:29,781 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:29,781 - DEBUG - [algo] | Using cached balances (age=46.2s)
2025-05-13 16:30:29,782 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:29,883 - DEBUG - [algo] | Using cached balances (age=46.3s)
2025-05-13 16:30:29,884 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:29,884 - DEBUG - [algo] | Using cached balances (age=46.3s)
2025-05-13 16:30:29,885 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:29,984 - DEBUG - [algo] | Using cached balances (age=46.4s)
2025-05-13 16:30:29,984 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:29,985 - DEBUG - [algo] | Using cached balances (age=46.4s)
2025-05-13 16:30:29,985 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:30,091 - DEBUG - [algo] | Using cached balances (age=46.5s)
2025-05-13 16:30:30,091 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:30,092 - DEBUG - [algo] | Using cached balances (age=46.5s)
2025-05-13 16:30:30,092 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:30,195 - DEBUG - [algo] | Using cached balances (age=46.6s)
2025-05-13 16:30:30,195 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:30,196 - DEBUG - [algo] | Using cached balances (age=46.6s)
2025-05-13 16:30:30,197 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:30,299 - DEBUG - [algo] | Using cached balances (age=46.7s)
2025-05-13 16:30:30,299 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:30,300 - DEBUG - [algo] | Using cached balances (age=46.7s)
2025-05-13 16:30:30,300 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:30,503 - DEBUG - [algo] | Using cached balances (age=46.9s)
2025-05-13 16:30:30,504 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:30,505 - DEBUG - [algo] | Using cached balances (age=46.9s)
2025-05-13 16:30:30,505 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:30,625 - DEBUG - [algo] | Using cached balances (age=47.1s)
2025-05-13 16:30:30,625 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:30,626 - DEBUG - [algo] | Using cached balances (age=47.1s)
2025-05-13 16:30:30,626 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:30,728 - DEBUG - [algo] | Using cached balances (age=47.2s)
2025-05-13 16:30:30,729 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:30,730 - DEBUG - [algo] | Using cached balances (age=47.2s)
2025-05-13 16:30:30,730 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:30,832 - DEBUG - [algo] | Using cached balances (age=47.3s)
2025-05-13 16:30:30,833 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:30,834 - DEBUG - [algo] | Using cached balances (age=47.3s)
2025-05-13 16:30:30,834 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:30,973 - DEBUG - [algo] | Using cached balances (age=47.4s)
2025-05-13 16:30:30,974 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:30,975 - DEBUG - [algo] | Using cached balances (age=47.4s)
2025-05-13 16:30:30,975 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:31,292 - DEBUG - [algo] | Using cached balances (age=47.7s)
2025-05-13 16:30:31,292 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:31,293 - DEBUG - [algo] | Using cached balances (age=47.7s)
2025-05-13 16:30:31,293 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:31,413 - DEBUG - [algo] | Using cached balances (age=47.9s)
2025-05-13 16:30:31,414 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:31,414 - DEBUG - [algo] | Using cached balances (age=47.9s)
2025-05-13 16:30:31,415 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:31,509 - DEBUG - [algo] | Using cached balances (age=48.0s)
2025-05-13 16:30:31,510 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:31,511 - DEBUG - [algo] | Using cached balances (age=48.0s)
2025-05-13 16:30:31,511 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:31,620 - DEBUG - [algo] | Using cached balances (age=48.1s)
2025-05-13 16:30:31,620 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:31,621 - DEBUG - [algo] | Using cached balances (age=48.1s)
2025-05-13 16:30:31,621 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:31,723 - DEBUG - [algo] | Using cached balances (age=48.2s)
2025-05-13 16:30:31,724 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:31,724 - DEBUG - [algo] | Using cached balances (age=48.2s)
2025-05-13 16:30:31,725 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:31,826 - DEBUG - [algo] | Using cached balances (age=48.3s)
2025-05-13 16:30:31,826 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:31,827 - DEBUG - [algo] | Using cached balances (age=48.3s)
2025-05-13 16:30:31,827 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:32,050 - DEBUG - [algo] | Using cached balances (age=48.5s)
2025-05-13 16:30:32,051 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:32,051 - DEBUG - [algo] | Using cached balances (age=48.5s)
2025-05-13 16:30:32,051 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:32,151 - DEBUG - [algo] | Using cached balances (age=48.6s)
2025-05-13 16:30:32,151 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:32,152 - DEBUG - [algo] | Using cached balances (age=48.6s)
2025-05-13 16:30:32,152 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:32,264 - DEBUG - [algo] | Using cached balances (age=48.7s)
2025-05-13 16:30:32,265 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:32,266 - DEBUG - [algo] | Using cached balances (age=48.7s)
2025-05-13 16:30:32,266 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:32,373 - DEBUG - [algo] | Using cached balances (age=48.8s)
2025-05-13 16:30:32,373 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:32,374 - DEBUG - [algo] | Using cached balances (age=48.8s)
2025-05-13 16:30:32,375 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:32,473 - DEBUG - [algo] | Using cached balances (age=48.9s)
2025-05-13 16:30:32,474 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:32,474 - DEBUG - [algo] | Using cached balances (age=48.9s)
2025-05-13 16:30:32,475 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:32,681 - DEBUG - [algo] | Using cached balances (age=49.1s)
2025-05-13 16:30:32,682 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:32,683 - DEBUG - [algo] | Using cached balances (age=49.1s)
2025-05-13 16:30:32,683 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:32,778 - DEBUG - [algo] | Using cached balances (age=49.2s)
2025-05-13 16:30:32,779 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:32,780 - DEBUG - [algo] | Using cached balances (age=49.2s)
2025-05-13 16:30:32,780 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:32,889 - DEBUG - [algo] | Using cached balances (age=49.3s)
2025-05-13 16:30:32,889 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:32,890 - DEBUG - [algo] | Using cached balances (age=49.3s)
2025-05-13 16:30:32,890 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:32,997 - DEBUG - [algo] | Using cached balances (age=49.4s)
2025-05-13 16:30:32,997 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:32,998 - DEBUG - [algo] | Using cached balances (age=49.4s)
2025-05-13 16:30:32,998 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:33,102 - DEBUG - [algo] | Using cached balances (age=49.5s)
2025-05-13 16:30:33,104 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:33,106 - DEBUG - [algo] | Using cached balances (age=49.5s)
2025-05-13 16:30:33,107 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:33,201 - DEBUG - [algo] | Using cached balances (age=49.6s)
2025-05-13 16:30:33,202 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:33,203 - DEBUG - [algo] | Using cached balances (age=49.6s)
2025-05-13 16:30:33,203 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:33,326 - DEBUG - [algo] | Using cached balances (age=49.8s)
2025-05-13 16:30:33,327 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:33,327 - DEBUG - [algo] | Using cached balances (age=49.8s)
2025-05-13 16:30:33,328 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:33,429 - DEBUG - [algo] | Using cached balances (age=49.9s)
2025-05-13 16:30:33,430 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:33,430 - DEBUG - [algo] | Using cached balances (age=49.9s)
2025-05-13 16:30:33,431 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:33,549 - DEBUG - [algo] | Using cached balances (age=50.0s)
2025-05-13 16:30:33,550 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:33,551 - DEBUG - [algo] | Using cached balances (age=50.0s)
2025-05-13 16:30:33,551 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:33,648 - DEBUG - [algo] | Using cached balances (age=50.1s)
2025-05-13 16:30:33,649 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:33,649 - DEBUG - [algo] | Using cached balances (age=50.1s)
2025-05-13 16:30:33,650 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:33,751 - DEBUG - [algo] | Using cached balances (age=50.2s)
2025-05-13 16:30:33,752 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:33,752 - DEBUG - [algo] | Using cached balances (age=50.2s)
2025-05-13 16:30:33,753 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:33,859 - DEBUG - [algo] | Using cached balances (age=50.3s)
2025-05-13 16:30:33,860 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:33,861 - DEBUG - [algo] | Using cached balances (age=50.3s)
2025-05-13 16:30:33,861 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:33,961 - DEBUG - [algo] | Using cached balances (age=50.4s)
2025-05-13 16:30:33,962 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:33,962 - DEBUG - [algo] | Using cached balances (age=50.4s)
2025-05-13 16:30:33,963 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:34,070 - DEBUG - [algo] | Using cached balances (age=50.5s)
2025-05-13 16:30:34,071 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:34,071 - DEBUG - [algo] | Using cached balances (age=50.5s)
2025-05-13 16:30:34,072 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:34,176 - DEBUG - [algo] | Using cached balances (age=50.6s)
2025-05-13 16:30:34,176 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:34,177 - DEBUG - [algo] | Using cached balances (age=50.6s)
2025-05-13 16:30:34,177 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:34,281 - DEBUG - [algo] | Using cached balances (age=50.7s)
2025-05-13 16:30:34,282 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:34,282 - DEBUG - [algo] | Using cached balances (age=50.7s)
2025-05-13 16:30:34,283 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:34,384 - DEBUG - [algo] | Using cached balances (age=50.8s)
2025-05-13 16:30:34,385 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:34,385 - DEBUG - [algo] | Using cached balances (age=50.8s)
2025-05-13 16:30:34,386 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:34,489 - DEBUG - [algo] | Using cached balances (age=50.9s)
2025-05-13 16:30:34,489 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:34,490 - DEBUG - [algo] | Using cached balances (age=50.9s)
2025-05-13 16:30:34,490 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:34,588 - DEBUG - [algo] | Using cached balances (age=51.0s)
2025-05-13 16:30:34,588 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:34,589 - DEBUG - [algo] | Using cached balances (age=51.0s)
2025-05-13 16:30:34,589 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:34,692 - DEBUG - [algo] | Using cached balances (age=51.1s)
2025-05-13 16:30:34,692 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:34,693 - DEBUG - [algo] | Using cached balances (age=51.1s)
2025-05-13 16:30:34,693 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:35,126 - DEBUG - [algo] | Using cached balances (age=51.6s)
2025-05-13 16:30:35,126 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:35,127 - DEBUG - [algo] | Using cached balances (age=51.6s)
2025-05-13 16:30:35,128 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:35,251 - DEBUG - [algo] | Using cached balances (age=51.7s)
2025-05-13 16:30:35,252 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:35,252 - DEBUG - [algo] | Using cached balances (age=51.7s)
2025-05-13 16:30:35,253 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:35,704 - DEBUG - [algo] | Using cached balances (age=52.1s)
2025-05-13 16:30:35,704 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:35,705 - DEBUG - [algo] | Using cached balances (age=52.1s)
2025-05-13 16:30:35,705 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:35,804 - DEBUG - [algo] | Using cached balances (age=52.2s)
2025-05-13 16:30:35,805 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:35,805 - DEBUG - [algo] | Using cached balances (age=52.2s)
2025-05-13 16:30:35,806 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:35,909 - DEBUG - [algo] | Using cached balances (age=52.4s)
2025-05-13 16:30:35,909 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:35,910 - DEBUG - [algo] | Using cached balances (age=52.4s)
2025-05-13 16:30:35,910 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:36,011 - DEBUG - [algo] | Using cached balances (age=52.5s)
2025-05-13 16:30:36,012 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:36,012 - DEBUG - [algo] | Using cached balances (age=52.5s)
2025-05-13 16:30:36,013 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:36,118 - DEBUG - [algo] | Using cached balances (age=52.6s)
2025-05-13 16:30:36,119 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:36,120 - DEBUG - [algo] | Using cached balances (age=52.6s)
2025-05-13 16:30:36,121 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:36,234 - DEBUG - [algo] | Using cached balances (age=52.7s)
2025-05-13 16:30:36,234 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:36,235 - DEBUG - [algo] | Using cached balances (age=52.7s)
2025-05-13 16:30:36,235 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:36,335 - DEBUG - [algo] | Using cached balances (age=52.8s)
2025-05-13 16:30:36,336 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:36,336 - DEBUG - [algo] | Using cached balances (age=52.8s)
2025-05-13 16:30:36,336 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:36,546 - DEBUG - [algo] | Using cached balances (age=53.0s)
2025-05-13 16:30:36,547 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:36,547 - DEBUG - [algo] | Using cached balances (age=53.0s)
2025-05-13 16:30:36,548 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:36,654 - DEBUG - [algo] | Using cached balances (age=53.1s)
2025-05-13 16:30:36,654 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:36,655 - DEBUG - [algo] | Using cached balances (age=53.1s)
2025-05-13 16:30:36,655 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:36,768 - DEBUG - [algo] | Using cached balances (age=53.2s)
2025-05-13 16:30:36,769 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:36,769 - DEBUG - [algo] | Using cached balances (age=53.2s)
2025-05-13 16:30:36,770 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:37,637 - DEBUG - [algo] | Using cached balances (age=54.1s)
2025-05-13 16:30:37,638 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:30:37,638 - DEBUG - [algo] | Using cached balances (age=54.1s)
2025-05-13 16:30:37,639 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:30:37,746 - DEBUG - [algo] | Using cached balances (age=54.2s)
2025-05-13 16:30:37,747 - DEBUG - [algo] | Returning available[USDT] = 8.677436
